Station Number,State,Temp Min,Temp Max,DO Min,DO Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Faecal Coliform Min,Faecal Coliform Max,Total Coliform Min,Total Coliform Max
3679,KARNATAKA,23,41,4.8,8.1,8.1,8.5,820,1300,3.7,8.6,0.1,15.9,13,900,900,1800
3680,KARNATAKA,22,36,5.6,8.4,7.6,8.2,460,1100,1.8,4.4,0.7,4.8,500,9000,1600,16000
3681,KARNATAKA,24,24,0.4,3.5,6.9,6.9,520,710,3.5,9,1.1,1.1,2800,9000,9000,16000
3682,KARNATAKA,26,34,0.7,9.3,8.2,8.7,680,3900,1.9,27.6,0.1,4.3,800,9000,1300,16000
3683,KARNATAKA,23,29,3.9,4.8,6.8,7.5,612,1400,21,248,0.6,3.2,170,900,1800,1800
3684,KARNATAKA,22,29,6.9,7.4,7.9,8.6,860,1441,3.5,9.6,0.2,2,110,900,275,1800
3685,KARNATAKA,23,27,6.1,6.2,7.8,9.4,800,1260,4.8,14.4,0.5,1.6,130,900,900,1800
3686,KARNATAKA,25,32,7.2,7.9,7.7,8.6,463,614,2.1,5.9,0.2,0.8,25,140,45,350
3687,KARNATAKA,22,30,6.4,7,7.7,8.4,847,1453,3.9,13.8,0.5,3.3,50,550,140,1800
3688,KARNATAKA,22,30,6,6.6,7.5,8.6,826,1436,3.6,7.7,0.5,2,110,900,350,1800
3689,KARNATAKA,22,29,6,6.5,7.4,8.2,812,980,4.6,18,0.6,4.4,110,550,225,1800
3690,KARNATAKA,23,29,5.9,7.4,7.8,8.4,1073,1317,4.2,8.4,0.4,3.3,170,900,900,1800
3691,KARNATAKA,26,27,6,7.6,7.3,8.1,98,180,2,3,0,0.1,70,170,220,500
3692,KARNATAKA,25,28,5.9,7.8,7.4,8,140,200,2,4.6,0.1,0.2,80,350,240,900
3693,KARNATAKA,25,28,3.8,7.6,7,7.7,430,1280,9,23,0.2,0.7,1300,10000,3000,18000
3694,KARNATAKA,25,30,6.4,7.9,7.1,8.2,140,488,2.3,3.5,0.1,0.6,110,2200,350,5000
3695,KARNATAKA,25,28,6.2,7.6,7,8.3,240,400,2.1,6.6,0.1,0.4,140,2200,350,5000
3696,KARNATAKA,25,33,5.4,11.6,7.2,8.2,1280,5700,16,87,0.6,3.2,5000,90000,9000,160000
3697,KARNATAKA,24,31,5,29,7.5,8.2,1260,2980,4.6,37,0.4,0.7,1300,10000,2400,160000
1383,KERALA,28,34,5.3,6.6,6.5,9,300,940,1,5.6,0,0,300,800,1200,2000
1385,KERALA,24,26,6.1,7.6,6.1,7.3,72,126,1.2,2,0.7,1.1,50,140,160,340
1441,KERALA,20,25,5.5,6.8,6.9,7.8,28807,57200,1.4,4.8,1.4,3,120,280,480,680
1574,KERALA,24,30,5.7,7.9,7.3,7.8,2320,32537,1.1,2.8,1,2.6,70,240,280,580
1575,KERALA,27,32,3.2,6.1,7,8,6345,54490,0.9,3.1,0.2,0.9,220,1700,400,2050
1576,KERALA,25,28,6.8,7.7,7,7.5,39,47,0.2,0.8,0,0.2,0,800,0,1200
1577,KERALA,26,32.5,4.7,8.1,7,7.9,2599,54110,1.1,3.2,0.3,0.5,130,1020,350,1420
1578,KERALA,28,28.5,2.1,6.8,6.4,7.6,4780,49283,0.5,6.8,0.1,0.2,120,400,280,580
